CountryName	IndicatorTitle	number-of-%-changes	avg-%-increase	avg-%-decrease	min%	max%	mean%	median%	std-dev%	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	
Albania	Employment to population ratio, 15+, female (%) (national estimate)	14	4.73	7.98	-14.60	14.14	0.19	2.36	7.58	0.00	0.00	6.41	4.63	3.62	2.98	2.53	2.19	-7.61	-14.60	14.14	2.05	-3.60	-11.97	-2.11	4.01
India	Employment to population ratio, 15+, female (%) (national estimate)	9	0.00	9.00	-35.24	-2.94	-9.00	-4.82	10.29	0.00	0.00	0.00	0.00	0.00	0.00	-4.38	-5.61	-7.79	-12.76	-35.24	-2.94	-3.12	-4.39	-4.82
Indonesia	Employment to population ratio, 15+, female (%) (national estimate)	16	2.32	0.62	-5.96	3.44	-0.25	-0.21	1.80	-0.20	-0.21	-0.21	-0.21	-0.22	-0.22	-0.23	-0.23	-0.24	-0.25	1.20	-0.14	-0.14	-0.14	3.44	-5.96
Iran, Islamic Rep.	Employment to population ratio, 15+, female (%) (national estimate)	16	4.45	6.21	-12.31	14.04	-0.88	-1.09	6.76	2.68	2.16	1.81	1.56	1.37	1.22	-5.60	-6.31	-12.31	14.04	-7.75	-3.40	-3.93	-4.67	-5.74	10.77
Ireland	Employment to population ratio, 15+, female (%) (national estimate)	16	2.07	2.16	-4.81	4.63	0.75	0.97	2.48	4.15	1.64	2.35	0.45	0.78	4.63	2.13	2.78	-0.82	-4.81	-3.10	-1.47	-0.57	1.09	0.85	1.91
Isle of Man	Employment to population ratio, 15+, female (%) (national estimate)	12	0.45	0.00	0.09	1.89	0.45	0.27	0.64	1.89	1.72	0.09	0.09	0.09	0.09	0.09	0.29	0.28	0.28	0.28	0.27
Israel	Employment to population ratio, 15+, female (%) (national estimate)	16	2.03	0.57	-0.69	8.81	1.70	1.18	2.15	2.10	-0.69	-0.46	0.69	0.90	3.03	1.37	2.46	2.06	0.90	1.96	0.67	8.81	0.98	2.00	0.43
Italy	Employment to population ratio, 15+, female (%) (national estimate)	16	1.75	1.20	-1.92	4.99	1.01	0.74	1.84	2.50	3.69	2.00	2.33	4.99	-0.81	1.75	0.37	1.17	-1.92	-0.55	0.64	0.84	-1.51	0.26	0.40
Jamaica	Employment to population ratio, 15+, female (%) (national estimate)	16	2.74	4.13	-11.37	15.98	0.17	1.15	5.47	1.34	1.26	1.18	1.12	-3.04	1.80	1.68	1.57	1.48	-5.10	-3.18	-1.03	-1.06	0.02	-11.37	15.98
Japan	Employment to population ratio, 15+, female (%) (national estimate)	16	0.62	0.61	-1.67	1.84	0.09	0.10	0.83	-0.67	-0.53	-1.67	-0.28	0.41	0.43	0.56	0.13	-0.19	-0.73	0.09	-0.17	0.11	1.84	1.08	0.97
Jordan	Employment to population ratio, 15+, female (%) (national estimate)	10	1.77	2.42	-4.40	1.77	-2.00	-1.57	1.77	0.00	0.00	0.00	0.00	0.00	-1.23	-1.31	-1.40	-1.51	-1.63	1.77	-3.48	-3.88	-4.40	-2.91
Kazakhstan	Employment to population ratio, 15+, female (%) (national estimate)	13	0.54	0.00	0.14	1.28	0.54	0.14	0.52	0.00	0.00	0.00	1.04	0.24	1.28	1.22	1.16	1.11	0.14	0.14	0.14	0.14	0.14	0.14	0.14
Kiribati	Employment to population ratio, 15+, female (%) (national estimate)	10	6.73	0.00	2.68	21.38	6.73	4.78	5.61	0.00	5.75	4.47	3.65	3.09	2.68	21.38	10.33	6.81	5.08	4.05
Korea, Rep.	Employment to population ratio, 15+, female (%) (national estimate)	16	1.14	1.58	-2.19	3.89	0.63	0.69	1.45	3.89	1.47	1.64	-2.19	1.81	0.31	0.79	0.29	-0.43	-2.11	0.25	0.65	0.67	0.72	1.58	0.79
Kosovo	Employment to population ratio, 15+, female (%) (national estimate)	6	3.32	11.14	-13.73	4.03	-1.50	2.88	7.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.03	3.47	3.05	2.72	-13.73	-8.54
Kuwait	Employment to population ratio, 15+, female (%) (national estimate)	12	3.73	0.66	-0.67	6.92	3.00	2.74	2.62	3.60	2.96	2.52	2.19	-0.66	-0.67	6.65	5.54	4.75	0.09	6.92	2.09
Kyrgyz Republic	Employment to population ratio, 15+, female (%) (national estimate)	13	1.25	1.67	-5.20	2.59	-0.32	-0.39	1.94	0.00	0.00	0.00	1.22	1.19	0.79	0.78	-1.20	-1.25	-1.30	-0.74	0.91	-1.57	-5.20	2.59	-0.39
Latin America & Caribbean	Employment to population ratio, 15+, female (%) (national estimate)	14	1.73	2.50	-5.62	3.21	0.83	1.09	2.25	0.00	0.00	3.21	-5.62	2.86	0.91	0.88	1.45	2.45	2.59	0.46	1.27	2.11	0.84	-1.19	-0.68
Latin America & Caribbean (IDA & IBRD)	Employment to population ratio, 15+, female (%) (national estimate)	14	1.70	2.30	-5.71	3.50	0.85	1.16	2.24	0.00	0.00	3.50	-5.71	3.07	0.67	1.04	1.42	2.51	2.24	0.49	1.28	1.63	0.88	-0.75	-0.43
Latin America & Caribbean (excluding high income)	Employment to population ratio, 15+, female (%) (national estimate)	14	1.69	2.61	-6.06	3.60	0.76	1.05	2.36	0.00	0.00	3.60	-6.06	2.68	0.89	0.68	1.56	2.40	2.38	0.13	1.21	2.19	0.80	-1.29	-0.48
Latvia	Employment to population ratio, 15+, female (%) (national estimate)	16	2.62	2.90	-8.39	6.75	0.90	1.94	3.42	-1.80	3.53	1.98	-0.20	-0.49	2.49	6.75	2.98	1.89	-8.39	-3.61	1.35	2.23	2.69	0.33	2.62
Lebanon	Employment to population ratio, 15+, female (%) (national estimate)	3	0.97	0.00	0.94	0.99	0.97	0.97	0.03	0.00	0.00	0.00	0.00	0.00	0.99	0.97	0.94
Lesotho	Employment to population ratio, 15+, female (%) (national estimate)	14	7.47	10.32	-19.55	25.74	3.66	4.10	10.23	-4.33	-7.08	-19.55	25.74	7.76	4.57	3.24	2.51	2.05	14.02	8.24	5.84	4.52	3.69
Liechtenstein	Employment to population ratio, 15+, female (%) (national estimate)	15	1.50	0.66	-1.77	4.25	0.21	-0.20	1.47	0.00	-0.53	-1.77	0.16	-0.10	-0.20	0.95	2.17	0.86	-0.88	-0.24	4.25	-1.02	-0.94	-0.23	0.58
Lithuania	Employment to population ratio, 15+, female (%) (national estimate)	16	2.20	2.32	-4.17	4.10	0.22	1.07	2.59	-2.04	-3.10	-0.28	4.10	-4.17	1.42	2.05	1.37	-0.75	-2.33	-3.57	2.23	2.48	0.77	3.19	2.23
Lower middle income	Employment to population ratio, 15+, female (%) (national estimate)	4	0.00	0.59	-0.61	-0.57	-0.59	-0.59	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.57	-0.58	-0.59	-0.61
Luxembourg	Employment to population ratio, 15+, female (%) (national estimate)	16	2.52	2.33	-5.92	6.07	1.61	1.61	2.70	1.80	3.49	1.11	-0.79	1.42	3.46	6.07	3.67	-5.92	3.72	0.88	-0.30	3.63	0.66	2.48	0.38
Macao SAR, China	Employment to population ratio, 15+, female (%) (national estimate)	16	3.14	3.36	-6.67	8.01	1.52	2.04	3.87	2.06	8.01	-5.88	-6.67	2.76	3.27	3.64	7.70	2.34	3.32	0.31	2.01	-0.53	1.39	0.93	-0.34
Macedonia, FYR	Employment to population ratio, 15+, female (%) (national estimate)	13	3.72	2.72	-10.16	7.05	1.24	1.57	4.35	0.00	0.00	0.00	-1.50	-10.16	7.05	-0.98	5.24	1.52	1.78	1.57	3.54	-0.43	5.34	-0.54	3.69
Madagascar	Employment to population ratio, 15+, female (%) (national estimate)	5	17.11	0.42	-0.42	19.96	6.59	-0.41	9.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.96	14.26	-0.41	-0.42	-0.42
Malawi	Employment to population ratio, 15+, female (%) (national estimate)	14	0.34	0.00	0.25	0.48	0.34	0.33	0.07	0.48	0.45	0.42	0.40	0.38	0.36	0.34	0.32	0.31	0.29	0.28	0.27	0.26	0.25
Malaysia	Employment to population ratio, 15+, female (%) (national estimate)	16	2.79	1.36	-2.68	6.74	1.23	0.98	2.69	6.74	-2.30	-0.27	2.36	-1.20	-2.68	-0.02	1.33	-1.70	1.29	0.65	3.21	3.45	5.63	2.53	0.67
Maldives	Employment to population ratio, 15+, female (%) (national estimate)	4	0.00	6.96	-10.30	-4.61	-6.96	-6.47	2.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-4.61	-5.65	-7.29	-10.30
Mali	Employment to population ratio, 15+, female (%) (national estimate)	6	228.61	356.16	-665.82	850.74	33.68	14.22	482.51	0.00	0.00	0.00	0.00	0.00	35.23	17.13	11.31	-46.51	-665.82	850.74
Malta	Employment to population ratio, 15+, female (%) (national estimate)	15	3.95	3.31	-5.48	6.74	2.50	3.72	3.57	0.00	-2.16	4.49	-2.29	-5.48	5.84	0.58	6.74	4.70	0.67	2.83	3.72	5.26	5.90	4.50	2.20
Marshall Islands	Employment to population ratio, 15+, female (%) (national estimate)	12	1.03	0.00	0.55	2.07	1.03	0.88	0.47	2.07	1.66	1.38	1.19	1.04	0.92	0.83	0.76	0.69	0.64	0.59	0.55
Mauritania	Employment to population ratio, 15+, female (%) (national estimate)	13	0.31	0.00	0.20	0.49	0.31	0.29	0.09	0.49	0.44	0.40	0.36	0.33	0.31	0.29	0.27	0.25	0.24	0.23	0.21	0.20
Mauritius	Employment to population ratio, 15+, female (%) (national estimate)	16	2.11	1.62	-4.37	8.14	1.41	0.86	2.66	0.81	0.75	0.71	0.66	0.63	-0.03	1.78	1.00	5.05	0.92	2.94	-0.47	1.02	8.14	-4.37	3.07
Mexico	Employment to population ratio, 15+, female (%) (national estimate)	16	2.07	1.51	-3.74	4.82	0.72	0.45	2.32	1.52	-2.18	1.38	-1.47	4.82	2.05	2.95	0.68	-0.44	0.11	-0.74	0.22	4.50	-0.52	-3.74	2.42
Middle East & North Africa	Employment to population ratio, 15+, female (%) (national estimate)	3	2.50	5.97	-11.41	2.50	-3.15	-0.53	7.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-11.41	-0.53	2.50
Middle East & North Africa (IDA & IBRD)	Employment to population ratio, 15+, female (%) (national estimate)	3	2.69	18.51	-18.51	2.75	-4.38	2.62	12.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-18.51	2.62	2.75
Middle East & North Africa (excluding high income)	Employment to population ratio, 15+, female (%) (national estimate)	3	2.67	9.10	-9.92	2.67	-5.17	-8.28	6.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-8.28	-9.92	2.67
