CountryName	IndicatorTitle	number-of-%-changes	avg-%-increase	avg-%-decrease	min%	max%	mean%	median%	std-dev%	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	
Albania	Employment to population ratio, 15+, male (%) (national estimate)	14	2.18	6.22	-9.97	10.92	-0.82	0.67	5.45	0.00	0.00	0.78	0.74	0.71	0.68	0.65	0.63	-0.80	-9.97	10.92	-6.94	-3.43	-9.96	0.75	3.80
Barbados	Employment to population ratio, 15+, male (%) (national estimate)	16	1.35	2.51	-6.13	2.53	-0.82	-0.60	2.45	0.61	0.60	-2.19	-0.63	0.93	1.60	-2.47	2.37	-1.80	-4.85	-1.57	2.53	-2.44	-0.56	-6.13	0.82
Belarus	Employment to population ratio, 15+, male (%) (national estimate)	6	6.45	1.09	-1.68	20.28	3.94	1.44	8.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.28	2.65	-1.68	0.66	2.22	-0.51
Belgium	Employment to population ratio, 15+, male (%) (national estimate)	16	1.19	1.04	-2.13	2.81	-0.35	-0.64	1.28	2.81	-1.96	-0.89	-1.41	0.90	0.76	-0.63	1.17	-0.19	-2.13	0.31	-0.72	-0.54	-1.20	-1.16	-0.65
Belize	Employment to population ratio, 15+, male (%) (national estimate)	16	4.37	0.20	-0.30	4.56	0.37	-0.23	1.57	-0.21	-0.22	-0.23	-0.23	-0.24	-0.25	-0.26	-0.27	-0.28	-0.29	-0.30	4.56	4.18	-0.02	-0.02	-0.02
Bermuda	Employment to population ratio, 15+, male (%) (national estimate)	10	1.47	1.45	-2.45	1.47	-1.15	-1.23	1.05	0.00	-0.89	-0.96	-1.06	-1.17	-1.30	-1.48	-1.70	-2.01	-2.45	1.47
Bhutan	Employment to population ratio, 15+, male (%) (national estimate)	10	1.76	3.63	-9.14	8.66	0.14	0.51	4.25	0.00	0.00	0.00	0.00	0.00	0.00	0.81	0.79	0.76	0.74	-1.28	0.25	-9.14	8.66	-0.47	0.29
Bolivia	Employment to population ratio, 15+, male (%) (national estimate)	15	14.80	6.14	-24.24	34.79	3.64	-0.70	14.89	10.43	-3.11	-3.98	-5.52	-8.99	-24.24	34.79	10.13	6.98	6.13	-0.70	32.56	-1.26	-1.29	2.60
Bosnia and Herzegovina	Employment to population ratio, 15+, male (%) (national estimate)	6	1.00	2.78	-4.32	1.33	-1.52	-2.15	2.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-2.48	-2.14	0.68	-2.17	1.33	-4.32
Botswana	Employment to population ratio, 15+, male (%) (national estimate)	14	20.29	0.00	1.28	213.47	20.29	3.47	55.89	5.44	3.52	2.61	2.07	1.71	1.46	1.28	213.47	22.38	11.81	8.02	3.81	3.42	3.10
Brazil	Employment to population ratio, 15+, male (%) (national estimate)	14	0.87	2.71	-10.27	2.11	-0.67	0.44	3.02	0.00	0.00	0.64	-10.27	0.48	0.64	-0.29	0.41	1.54	-1.34	2.11	0.62	0.54	-0.63	-1.12	-2.64
Brunei Darussalam	Employment to population ratio, 15+, male (%) (national estimate)	15	0.00	1.81	-7.06	-0.59	-1.81	-1.26	1.68	-1.71	-2.06	-0.59	-0.64	-0.69	-0.76	-0.85	-0.95	-1.09	-1.26	-1.51	-1.88	-2.49	-3.68	-7.06
Bulgaria	Employment to population ratio, 15+, male (%) (national estimate)	15	2.99	2.95	-4.26	5.06	1.01	1.31	3.21	0.00	-4.26	1.31	4.68	3.17	1.20	4.10	5.06	3.88	-2.85	-3.46	-3.59	-0.57	1.12	2.61	2.73
Cambodia	Employment to population ratio, 15+, male (%) (national estimate)	15	4.87	3.88	-13.22	6.28	-0.38	-0.45	5.53	-3.17	-3.91	-5.11	-7.37	-13.22	5.60	4.57	3.87	3.35	6.28	5.58	-0.44	-0.45	-0.45	-0.75
Canada	Employment to population ratio, 15+, male (%) (national estimate)	16	0.42	0.96	-4.28	0.90	-0.12	0.05	1.19	0.90	-0.73	0.37	0.76	0.16	0.00	-0.15	0.46	0.07	-4.28	0.34	0.69	-0.27	0.03	-0.32	-0.03
Caribbean small states	Employment to population ratio, 15+, male (%) (national estimate)	16	0.67	1.83	-6.50	7.15	-0.11	0.03	2.55	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	-2.02	-0.21	-0.21	-0.21	-6.50	7.15
Cayman Islands	Employment to population ratio, 15+, male (%) (national estimate)	16	0.88	2.44	-3.81	3.81	-0.16	0.11	2.03	0.11	0.11	0.11	0.11	0.10	0.10	0.10	-3.44	2.74	-2.81	-1.43	-3.81	3.81	-0.72	1.67	0.78
Central Europe and the Baltics	Employment to population ratio, 15+, male (%) (national estimate)	16	1.59	1.65	-4.57	2.86	-0.03	0.09	2.06	-4.57	-1.69	-2.91	-0.19	-0.12	1.30	2.22	2.86	1.89	-2.21	-1.13	-0.41	0.82	0.29	2.03	1.31
Chile	Employment to population ratio, 15+, male (%) (national estimate)	16	1.41	0.98	-2.92	5.33	-0.08	-0.16	1.84	-1.74	-0.04	-0.84	-0.27	0.12	-0.99	2.45	-1.29	0.08	-2.92	5.33	0.16	-0.04	0.34	-0.83	-0.81
Colombia	Employment to population ratio, 15+, male (%) (national estimate)	15	3.56	2.53	-6.74	11.44	1.53	1.07	4.47	0.00	2.40	2.24	2.10	-1.46	1.79	-3.42	-0.85	3.76	11.44	1.07	-6.74	0.77	-0.20	9.46	0.61
Costa Rica	Employment to population ratio, 15+, male (%) (national estimate)	16	0.96	1.47	-4.36	1.83	-0.71	-0.76	1.58	-1.20	-0.21	-1.23	0.08	-0.55	1.46	0.08	1.83	-2.79	-4.36	-0.24	1.33	-1.41	-1.29	-0.97	-1.95
Croatia	Employment to population ratio, 15+, male (%) (national estimate)	16	4.35	3.66	-11.70	11.26	0.84	0.77	5.62	11.26	0.14	3.54	-0.25	1.85	-2.73	-0.04	10.42	1.39	-2.69	-4.19	-11.70	5.61	-4.04	3.54	1.40
Cuba	Employment to population ratio, 15+, male (%) (national estimate)	9	3.93	0.91	-2.37	7.41	2.32	1.48	3.25	0.00	0.00	0.00	0.00	0.00	-0.18	-0.18	0.41	1.48	7.41	5.71	4.65	3.92	-2.37
Cyprus	Employment to population ratio, 15+, male (%) (national estimate)	16	0.57	1.92	-5.17	0.78	-1.30	-0.61	1.98	-0.74	0.68	-0.48	0.48	0.33	-0.31	-0.14	0.78	-0.48	-4.35	-1.02	-2.98	-4.88	-5.17	-1.69	-0.75
Czech Republic	Employment to population ratio, 15+, male (%) (national estimate)	16	0.73	1.18	-2.34	1.53	0.02	0.24	1.12	-1.18	0.02	0.96	-0.91	-1.56	1.53	0.47	1.36	0.60	-2.34	-0.93	-0.16	0.02	0.69	1.05	0.65
Denmark	Employment to population ratio, 15+, male (%) (national estimate)	16	0.68	1.26	-4.94	1.18	-0.54	-0.24	1.60	-0.54	0.13	-0.07	-0.63	0.43	-0.23	1.18	-0.35	0.67	-4.94	-3.43	-0.25	-1.28	-0.90	0.70	0.95
Djibouti	Employment to population ratio, 15+, male (%) (national estimate)	3	0.00	0.90	-0.95	-0.85	-0.90	-0.90	0.05	-0.85	-0.90	-0.95
Dominica	Employment to population ratio, 15+, male (%) (national estimate)	2	0.00	3.01	-3.10	-2.92	-3.01	-3.01	0.13	-2.92	-3.10
Dominican Republic	Employment to population ratio, 15+, male (%) (national estimate)	16	2.47	1.93	-6.31	12.36	0.27	0.11	3.84	-6.31	-3.24	-1.45	-1.33	1.57	-1.15	2.42	0.24	-1.46	12.36	-0.01	0.75	0.74	-0.45	1.31	0.41
Early-demographic dividend	Employment to population ratio, 15+, male (%) (national estimate)	9	0.19	0.96	-1.07	0.19	-0.71	-0.95	0.51	0.00	0.00	0.00	0.00	0.00	0.00	-0.88	-0.92	-0.96	-1.01	-1.07	0.19	0.19	-0.95	-0.96
Ecuador	Employment to population ratio, 15+, male (%) (national estimate)	16	6.39	5.47	-21.67	43.06	1.54	0.98	12.51	1.42	1.36	-3.74	-3.05	2.07	1.99	2.17	-21.67	-0.60	43.06	-1.70	1.24	-2.09	0.72	3.51	0.00
Egypt, Arab Rep.	Employment to population ratio, 15+, male (%) (national estimate)	15	13.20	5.05	-25.90	39.69	3.47	-1.08	14.71	0.00	2.27	-2.17	-1.50	4.65	24.65	16.51	0.55	-25.90	39.69	4.07	-4.96	-1.08	-1.31	-1.72	-1.78
El Salvador	Employment to population ratio, 15+, male (%) (national estimate)	14	4.75	2.25	-3.44	20.64	1.75	0.59	6.21	-2.33	-2.50	-2.71	0.83	-3.44	6.60	5.83	1.76	20.64	-2.10	0.53	0.65	1.15	-0.40
Estonia	Employment to population ratio, 15+, male (%) (national estimate)	16	2.82	5.33	-12.64	9.40	0.78	1.51	4.94	-3.52	0.44	0.76	2.69	-0.66	1.11	7.56	1.91	0.22	-12.64	-4.51	9.40	2.98	2.09	2.11	2.62
Ethiopia	Employment to population ratio, 15+, male (%) (national estimate)	14	56.58	11.52	-25.12	373.52	27.40	0.83	101.22	-5.07	-6.79	-10.28	-21.13	373.52	48.53	-25.12	0.87	0.85	0.82	-0.72	2.18	1.93	23.96
Euro area	Employment to population ratio, 15+, male (%) (national estimate)	16	0.57	1.03	-3.38	0.83	-0.33	-0.25	1.11	0.77	0.38	-0.28	-0.45	-0.76	0.69	0.82	0.83	-0.22	-3.38	-1.19	-0.37	-1.39	-1.26	0.01	0.53
Europe & Central Asia	Employment to population ratio, 15+, male (%) (national estimate)	16	1.13	1.36	-3.32	4.02	0.04	0.28	1.73	0.66	-0.02	-2.14	-1.03	-3.32	4.02	0.79	1.34	1.46	-2.40	0.10	0.46	-0.17	-0.43	0.55	0.76
Europe & Central Asia (IDA & IBRD)	Employment to population ratio, 15+, male (%) (national estimate)	15	2.00	2.94	-6.14	8.48	0.35	0.79	3.37	0.00	-0.63	-4.64	-2.06	-6.14	8.48	0.94	2.10	3.54	-1.25	1.73	1.35	0.83	0.08	0.14	0.79
Europe & Central Asia (excluding high income)	Employment to population ratio, 15+, male (%) (national estimate)	13	2.32	2.75	-7.22	9.20	0.76	0.72	3.67	0.00	0.00	0.00	-2.15	-7.22	9.20	0.69	1.80	3.53	-1.35	2.33	1.55	0.88	0.15	-0.30	0.72
European Union	Employment to population ratio, 15+, male (%) (national estimate)	16	0.61	0.87	-3.05	1.09	-0.22	-0.30	1.01	-0.28	0.01	-0.91	-0.32	-0.56	0.71	0.93	1.09	0.21	-3.05	-0.83	-0.41	-0.75	-0.75	0.61	0.71
Faroe Islands	Employment to population ratio, 15+, male (%) (national estimate)	8	3.78	3.09	-6.70	8.24	-0.51	-0.42	4.61	0.00	0.00	0.00	0.00	0.00	0.00	1.51	-2.96	-0.38	-4.93	-0.45	-6.70	8.24	1.59
Fiji	Employment to population ratio, 15+, male (%) (national estimate)	8	3.46	30.10	-30.10	13.07	-0.73	0.16	12.99	0.17	0.16	0.16	0.16	0.16	-30.10	13.07	10.36
Finland	Employment to population ratio, 15+, male (%) (national estimate)	16	1.02	1.34	-5.35	1.29	-0.46	-0.50	1.65	1.19	0.41	-1.38	-0.87	-0.56	-0.43	1.29	1.04	1.24	-5.35	-0.39	0.96	-0.70	-1.80	-1.11	-0.83
France	Employment to population ratio, 15+, male (%) (national estimate)	16	0.84	0.76	-2.00	1.55	-0.26	-0.45	0.92	1.55	1.32	-0.46	0.38	-0.70	-0.29	-0.47	0.40	0.54	-2.00	-0.28	-0.44	-0.67	-1.07	-1.28	-0.69
French Polynesia	Employment to population ratio, 15+, male (%) (national estimate)	10	11.85	5.11	-14.46	32.40	1.67	-1.94	12.39	0.00	0.00	0.00	-1.76	-2.13	-2.71	-3.72	-5.91	-14.46	32.40	7.64	4.33	3.02
Georgia	Employment to population ratio, 15+, male (%) (national estimate)	16	3.00	2.49	-4.71	5.50	0.41	0.04	3.08	5.50	-0.30	-2.89	3.39	-4.71	-2.41	-2.30	3.10	-3.17	0.00	0.08	4.14	3.00	-1.66	3.26	1.50
Germany	Employment to population ratio, 15+, male (%) (national estimate)	16	1.10	1.17	-2.15	2.17	0.11	0.06	1.42	-0.10	-0.81	-1.77	-2.12	-2.15	2.02	1.48	1.87	1.32	-0.91	0.61	2.17	0.35	0.02	0.10	-0.37
Ghana	Employment to population ratio, 15+, male (%) (national estimate)	13	0.93	0.00	0.04	4.35	0.93	0.04	1.69	0.00	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	4.35	3.84	3.45
Greece	Employment to population ratio, 15+, male (%) (national estimate)	16	0.60	3.13	-8.89	1.87	-1.50	-0.14	3.13	0.03	-0.60	0.52	0.80	-0.18	-0.13	0.66	0.18	0.13	-2.15	-4.01	-7.71	-8.89	-4.31	-0.15	1.87
Greenland	Employment to population ratio, 15+, male (%) (national estimate)	3	10.44	15.55	-15.55	11.52	1.77	9.36	15.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.52	9.36	-15.55
Guam	Employment to population ratio, 15+, male (%) (national estimate)	12	1.43	4.05	-4.37	3.96	0.06	0.36	2.81	0.06	0.06	0.06	3.17	2.98	-3.52	3.96	-4.27	0.96	0.94	-4.37	0.65
Guatemala	Employment to population ratio, 15+, male (%) (national estimate)	11	9.38	12.49	-27.68	45.05	-0.56	0.81	17.76	0.00	0.00	0.00	0.00	0.00	1.80	1.74	-6.41	-8.61	-13.14	-27.68	45.05	4.00	-6.63	0.81	2.90
High income	Employment to population ratio, 15+, male (%) (national estimate)	16	0.48	0.82	-3.33	0.81	-0.25	-0.09	1.02	0.23	-0.49	-0.99	-0.60	-0.08	0.81	0.37	0.67	-0.09	-3.33	-1.34	0.47	-0.19	-0.26	0.52	0.30
Honduras	Employment to population ratio, 15+, male (%) (national estimate)	16	3.57	13.63	-23.01	11.53	0.34	0.15	8.71	-15.76	-23.01	11.53	8.57	6.82	1.23	0.01	6.87	5.70	4.86	-2.12	0.16	0.15	0.15	0.15	0.15
Hong Kong SAR, China	Employment to population ratio, 15+, male (%) (national estimate)	16	0.73	1.47	-3.37	1.61	-0.23	0.26	1.40	0.39	-1.10	-3.37	-2.24	0.97	1.61	0.65	0.60	-0.55	-2.47	-0.26	0.95	0.61	0.68	-0.32	0.14
Hungary	Employment to population ratio, 15+, male (%) (national estimate)	16	2.17	0.99	-3.24	5.83	0.59	0.42	2.14	0.87	-0.39	-0.04	1.02	-0.31	-0.39	0.98	-0.38	-1.61	-3.24	-1.54	1.45	1.27	2.86	5.83	3.08
Iceland	Employment to population ratio, 15+, male (%) (national estimate)	16	1.30	2.62	-8.10	3.03	-0.17	0.61	2.65	1.18	0.44	-3.11	-0.62	-1.68	1.06	1.58	0.78	-1.89	-8.10	0.09	-0.34	0.93	1.98	3.03	1.93
India	Employment to population ratio, 15+, male (%) (national estimate)	9	0.00	1.20	-3.31	-0.58	-1.20	-0.65	1.14	0.00	0.00	0.00	0.00	0.00	0.00	-0.58	-0.59	-0.61	-0.63	-0.65	-0.65	-0.66	-3.10	-3.31
Indonesia	Employment to population ratio, 15+, male (%) (national estimate)	16	1.38	0.28	-1.98	1.60	-0.07	-0.15	0.73	-0.15	-0.15	-0.15	-0.15	-0.16	-0.16	-0.16	-0.16	-0.17	-0.17	1.60	-0.11	-0.11	-0.11	1.16	-1.98
Iran, Islamic Rep.	Employment to population ratio, 15+, male (%) (national estimate)	16	1.55	2.67	-2.89	10.64	0.49	0.70	3.10	0.82	0.77	0.72	0.67	0.64	0.60	-2.73	-2.89	-2.53	10.64	-2.54	0.81	0.79	0.76	0.74	0.64
Ireland	Employment to population ratio, 15+, male (%) (national estimate)	16	1.99	3.01	-11.13	3.54	-0.51	0.19	3.69	2.84	0.53	-1.36	-0.52	0.45	2.28	1.56	-0.06	-3.84	-11.13	-4.81	-1.93	-0.43	3.54	2.29	2.46
Isle of Man	Employment to population ratio, 15+, male (%) (national estimate)	12	1.07	0.53	-0.78	1.10	-0.26	-0.35	0.65	1.10	1.04	-0.67	-0.70	-0.72	-0.75	-0.78	-0.33	-0.33	-0.34	-0.34	-0.35
Israel	Employment to population ratio, 15+, male (%) (national estimate)	16	1.88	1.28	-2.19	9.82	1.09	0.96	2.65	0.07	-0.63	-2.03	-0.26	1.54	1.19	1.39	2.35	1.44	-2.19	1.54	1.45	9.82	0.74	0.41	0.57
Italy	Employment to population ratio, 15+, male (%) (national estimate)	16	0.61	1.30	-2.83	1.00	-0.47	-0.22	1.22	0.34	0.57	1.00	0.78	0.24	-1.21	0.40	-0.09	-0.73	-2.63	-1.66	-0.64	-1.60	-2.83	-0.35	0.93
Jamaica	Employment to population ratio, 15+, male (%) (national estimate)	16	2.30	4.63	-12.60	16.55	-0.30	0.16	5.75	1.50	1.40	1.31	1.23	-5.62	0.16	0.16	0.16	0.16	-3.70	-2.70	-1.57	-1.62	0.42	-12.60	16.55
Japan	Employment to population ratio, 15+, male (%) (national estimate)	16	0.19	0.88	-2.25	0.36	-0.48	-0.37	0.74	-0.76	-1.27	-1.63	-0.72	-0.34	0.17	0.11	0.33	-0.67	-2.25	-0.70	0.10	-0.40	-0.06	0.36	0.07
Jordan	Employment to population ratio, 15+, male (%) (national estimate)	10	0.02	1.60	-2.07	0.02	-0.79	-0.27	0.94	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.02	0.02	0.02	-2.07	-1.70	-1.79	-1.89	-0.56
Kazakhstan	Employment to population ratio, 15+, male (%) (national estimate)	13	0.41	0.07	-0.07	0.63	0.38	0.35	0.20	0.00	0.00	0.00	-0.07	0.13	0.63	0.62	0.60	0.59	0.37	0.36	0.35	0.34	0.33	0.33	0.32
Kiribati	Employment to population ratio, 15+, male (%) (national estimate)	10	4.98	0.00	2.16	13.53	4.98	3.73	3.48	0.00	3.81	3.20	2.76	2.42	2.16	13.53	8.07	5.75	4.47	3.65
Korea, Rep.	Employment to population ratio, 15+, male (%) (national estimate)	16	0.67	0.60	-1.16	2.48	0.19	0.04	0.91	2.48	0.44	1.73	-0.43	0.18	-0.62	-0.46	0.04	-0.55	-1.16	0.03	0.56	0.38	0.04	0.79	-0.39
Kosovo	Employment to population ratio, 15+, male (%) (national estimate)	6	4.61	11.12	-15.60	6.02	-0.63	3.78	8.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.02	4.85	4.06	3.50	-15.60	-6.64
Kuwait	Employment to population ratio, 15+, male (%) (national estimate)	12	2.14	0.74	-0.85	4.74	1.42	1.39	1.75	1.44	1.33	1.23	1.15	4.74	4.33	1.77	1.69	1.60	-0.85	-0.58	-0.78
Kyrgyz Republic	Employment to population ratio, 15+, male (%) (national estimate)	13	1.66	0.75	-1.47	2.13	0.55	1.08	1.32	0.00	0.00	0.00	2.08	1.99	2.13	2.04	-0.57	-0.58	-0.59	1.08	1.09	-0.43	-0.84	-1.47	1.23
Latin America & Caribbean	Employment to population ratio, 15+, male (%) (national estimate)	14	0.83	1.54	-5.75	1.53	-0.18	0.27	1.83	0.00	0.00	-0.84	-5.75	1.53	-0.37	0.25	-0.34	1.47	0.78	0.61	0.82	0.92	-0.21	-1.70	0.29
Latin America & Caribbean (IDA & IBRD)	Employment to population ratio, 15+, male (%) (national estimate)	14	0.78	1.42	-5.82	1.56	-0.16	0.34	1.80	0.00	0.00	-0.53	-5.82	1.56	-0.46	0.32	-0.33	1.48	0.51	0.61	0.82	0.36	-0.12	-1.23	0.55
Latin America & Caribbean (excluding high income)	Employment to population ratio, 15+, male (%) (national estimate)	14	0.84	1.54	-5.98	1.55	-0.18	0.30	1.89	0.00	0.00	-0.63	-5.98	1.45	-0.34	0.12	-0.31	1.55	0.68	0.47	0.84	0.97	-0.23	-1.74	0.62
Latvia	Employment to population ratio, 15+, male (%) (national estimate)	16	3.17	5.74	-16.83	6.17	0.38	1.84	5.61	-4.46	-0.92	2.94	1.22	2.28	1.17	6.17	3.07	-1.25	-16.83	-5.24	5.77	4.82	3.75	1.44	2.23
Lebanon	Employment to population ratio, 15+, male (%) (national estimate)	3	0.00	1.44	-1.50	-1.38	-1.44	-1.44	0.06	0.00	0.00	0.00	0.00	0.00	-1.38	-1.44	-1.50
Lesotho	Employment to population ratio, 15+, male (%) (national estimate)	14	6.70	12.79	-26.02	19.39	2.52	3.98	10.55	-4.58	-7.79	-26.02	19.39	7.06	4.32	3.11	2.43	1.99	13.46	8.05	5.74	4.46	3.65
Liechtenstein	Employment to population ratio, 15+, male (%) (national estimate)	15	0.88	1.22	-2.18	1.09	-0.80	-0.91	1.03	0.00	-0.91	-1.91	-1.88	-2.18	-0.70	0.98	0.58	-0.59	-1.95	-0.48	1.09	-0.66	-1.38	-0.94	-1.06
Lithuania	Employment to population ratio, 15+, male (%) (national estimate)	16	3.51	4.25	-12.08	7.54	0.12	1.43	5.00	-6.80	-2.96	7.54	2.25	-1.26	0.77	-0.19	2.98	-1.57	-12.08	-4.92	5.98	3.55	3.97	2.48	2.10
Lower middle income	Employment to population ratio, 15+, male (%) (national estimate)	4	0.00	0.81	-0.85	-0.77	-0.81	-0.81	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.77	-0.79	-0.82	-0.85
Luxembourg	Employment to population ratio, 15+, male (%) (national estimate)	16	1.50	2.25	-7.28	3.81	-0.14	0.06	2.70	2.71	-0.34	0.79	-3.08	-1.01	0.45	-7.28	1.53	3.81	3.80	-0.58	-1.23	0.29	0.02	0.10	-2.23
Macao SAR, China	Employment to population ratio, 15+, male (%) (national estimate)	16	2.67	2.54	-6.58	8.00	0.72	1.30	3.56	-1.98	8.00	-5.81	-6.58	1.47	2.14	4.52	3.70	1.88	-0.16	0.15	1.14	1.55	-0.17	2.19	-0.51
Macedonia, FYR	Employment to population ratio, 15+, male (%) (national estimate)	13	2.40	3.53	-4.94	4.12	1.03	1.00	3.11	0.00	0.00	0.00	-4.94	-4.33	4.12	4.10	1.00	3.83	3.87	0.02	-1.31	0.22	3.42	2.91	0.47
Madagascar	Employment to population ratio, 15+, male (%) (national estimate)	5	17.34	0.40	-0.40	20.26	6.70	-0.39	9.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.26	14.42	-0.39	-0.40	-0.40
Malawi	Employment to population ratio, 15+, male (%) (national estimate)	14	0.29	0.00	0.22	0.39	0.29	0.28	0.05	0.39	0.37	0.35	0.33	0.32	0.30	0.29	0.28	0.27	0.26	0.25	0.24	0.23	0.22
Malaysia	Employment to population ratio, 15+, male (%) (national estimate)	16	0.54	0.65	-1.31	1.24	-0.13	-0.03	0.74	-0.80	0.33	-0.89	0.42	-1.31	-1.15	0.08	-0.32	-0.70	-0.58	1.24	0.45	0.97	0.29	-0.03	-0.03
Maldives	Employment to population ratio, 15+, male (%) (national estimate)	4	0.00	3.78	-4.71	-3.01	-3.78	-3.69	0.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-3.01	-3.42	-3.96	-4.71
Mali	Employment to population ratio, 15+, male (%) (national estimate)	6	169.11	190.84	-338.13	653.69	49.13	6.67	325.34	0.00	0.00	0.00	0.00	0.00	9.41	7.34	6.01	-43.56	-338.13	653.69
Malta	Employment to population ratio, 15+, male (%) (national estimate)	15	0.89	0.86	-2.38	1.74	-0.28	-0.26	1.06	0.00	1.74	-1.33	-0.26	-0.80	-2.38	-0.05	-0.34	-0.99	-1.31	0.34	0.88	-0.94	-0.24	0.79	0.70
Marshall Islands	Employment to population ratio, 15+, male (%) (national estimate)	12	0.36	0.00	0.29	0.46	0.36	0.36	0.06	0.46	0.44	0.42	0.40	0.38	0.36	0.35	0.33	0.32	0.31	0.30	0.29
Mauritania	Employment to population ratio, 15+, male (%) (national estimate)	13	0.22	0.00	0.16	0.30	0.22	0.21	0.05	0.30	0.28	0.26	0.25	0.23	0.22	0.21	0.20	0.19	0.18	0.18	0.17	0.16
Mauritius	Employment to population ratio, 15+, male (%) (national estimate)	16	0.99	1.33	-4.94	4.26	-0.03	0.28	1.84	0.52	0.50	0.48	0.46	0.44	-0.93	-0.40	1.67	0.41	-0.95	-0.22	-1.36	0.14	4.26	-4.94	-0.51
Mexico	Employment to population ratio, 15+, male (%) (national estimate)	16	2.06	1.35	-5.56	5.87	-0.50	-0.71	2.31	-1.46	-0.79	-0.88	-1.04	0.33	-0.62	0.50	-0.54	-0.85	-2.91	-0.23	-0.38	1.56	-0.94	-5.56	5.87
Middle East & North Africa	Employment to population ratio, 15+, male (%) (national estimate)	3	4.13	5.85	-5.85	7.54	0.80	0.73	6.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-5.85	7.54	0.73
